title,description,question_id
"Дисконт","Их бывает два вида: накопительная и скидочная",1
"Инвентаризация","Это процесс подсчёта и оценки всех активов, имеющихся в наличии на определённый момент времени.",2
"Венчик","Был такой персонаж в сериале 'папины дочки'",3
"Гардманнье","Не многие знают, а те которые знают могут гордиться!",4
"Пастеризация","Часто используются такие приставки как 'ультра' и 'мега' ",5
"Италия","Здесь находится Колизей и вулкан Везувий",6
"Россия","Она расположена в двух частях света",7
"Англия","Или точнее - Великобритания",8
"Италия","Столица этой страны - Рим",9
"Канада","Эта страна известна своими хоккеем и кленовым сиропом",10
"Аллегро","Это слово есть в марке автомобилей",11
"Эвита","В основе сюжета - биография Евы Перон",12
"Шесть","Их может быть и 7, и 12, но у классической - шесть",13
"Бубен","Его разновидность - шаманский бубен",14
"Вивальди","Этот композитор был итальянцем",15
"Картограф","Эта профессия тесно связана с географами",16
"Лоцман","Он проводит суда через опасные участки",17
"Реставратор","Этот специалист работает в архивах и библиотеках",18
"Стоматолог","Или более узко - челюстно-лицевой хирург",19
"Искусствовед","Часто работает на аукционах",20
"Летучая мышь","Относится к отряду рукокрылых",21
"Белый медведь","Обитает в Арктике",22
"Осьминог","Эти сердца качают кровь разного цвета",23
"Утконос","Обитает в Австралии",24
"Страус","Может развивать скорость до 70 км/ч",25
"Зависть","Одно из семи смертных грехов",26
"Тревога","Может быть генерализованным расстройством",27
"Апатия","Частый симптом депрессии",28
"Злорадство","Происходит от немецкого 'Schadenfreude'",29
"Высокомерие","Часто идет перед падением",30
"Тарантино","Американский режиссёр, известный нелинейной структурой повествования",31
"Стрип","Американская актриса, известная ролью в 'Дьявол носит Prada'",32
"Властелин Колец","Кинотрилогия по роману Толкиена",33
"Зум","Может быть оптическим или цифровым",34
"Леджер","Австралийский актёр, трагически погибший в 2008 году",35
"Александра","Родилась в Гессен-Дармштадте, была внучкой английской королевы Виктории",36
"Архимед","Древнегреческий математик и изобретатель из Сиракуз",37
"1969","Миссия 'Аполлон-11'",38
"Романовы","Начало династии положил Михаил Фёдорович",39
"Фёдоровы","Иван Фёдоров и Пётр Мстиславец",40
"Цезарь","Его именем назван месяц июль",41
"1453","Осада Бордо",42
"Александр","Царь-реформатор, погиб от рук народовольцев",43
"Сократ","Его метод познания — майевтика",44
"Нюрнберг","Международный военный трибунал",45
"Соусье","Ключевая фигура в системе бригадного цеха Огюста Эскофье",46
"Турне","Нож с изогнутым лезвием для художественной резки",47
"Маринование","Может быть сухим или влажным",48
"Сомелье","Специалист по винной этике и сервировке",49
"Амюзбуш","В переводе с французского 'развлекающий рот'",50
"Финчер","Его фильмы отличаются тёмной цветовой палитрой и сложным монтажом",51
"ДиКаприо","Лауреат премии 'Оскар' за роль в 'Выжившем'",52
"Фанфик","Может быть в формате AMV или фанатского трейлера",53
"Куросава","Японский мастер, оказавший влияние на западный кинематограф",54
"BAFTA","Британский аналог 'Оскара'",55
"Булгаков","Роман писался более 10 лет",56
"Ампер","Названа в честь французского физика",57
"Нил","Река в Африке",58
"Мунк","Норвежский экспрессионист",59
"Англия","Основатель ФИФА",60
"Apple","Компания основана Стивом Джобсом",61
"Соевый соус","Используется в азиатской кухне",62
"Раффлезия","Произрастает в Юго-Восточной Азии",63
"Бернини","Итальянский архитектор барокко",64
"Шанель","Французский модельер",65
"Солнце","Желтый карлик",66
"Вытеснение","Один из механизмов защиты по Фрейду",67
"Пушкин","Золотой век русской литературы",68
"Золото","Благородный металл",69
"Канберра","Не Сидней",70
"Микеланджело","Эпоха Возрождения",71
"Бадминтон","Олимпийский вид спорта",72
"Гейтс","Один из богатейших людей мира",73
"Эклер","Французское происхождение",74
"Береза","Национальное дерево",75
"Готика","Средневековый стиль",76
"Версаче","Итальянский luxury-бренд",77
"Сатурн","Газовый гигант",78
"Фаллическая","Эдипов комплекс",79
"Лермонтов","Русский поэт 19 века",80
"Ньютон","Английский ученый",81
"Байкал","Находится в России",82
"Кубизм","Авангардное течение",83
"Баскетбол","Изобретен в США",84
"JavaScript","Для frontend-разработки",85
"Рокфор","Французский сыр",86
"Желудь","Плод дуба",87
"Тадж-Махал","Построен Шах-Джаханом",88
"Платформы","Обувь 70-х",89
"Луна","Естественный спутник",90
"Биполярное","Аффективное расстройство",91
"Ахматова","Русская поэтесса",92
"Оптика","Раздел физики",93
"Атакама","Самая сухая пустыня",94
"Айвазовский","Автор 'Девятого вала'",95
"Серфинг","Водный вид спорта",96
"Дерева","Первая мышь Дугласа Энгельбарта",97
"Ризотто","Итальянская кухня",98
"Сосна","Хвойное дерево",99
"Хай-тек","Современный стиль",100
"Галстук","Мужской аксессуар",101
"Марс","Четвертая планета",102
"Амнезия","Потеря памяти",103
"Грибоедов","Русский драматург",104
"Зоология","Наука о животных",105
"Гедонизм","Философия наслаждения",106
"Бородин","Автор 'Богатырской симфонии'",107
"Млечный","Наша галактика",108
"Чертополох","Колючее растение",109
"Алматы","Крупнейший город Казахстана",110
"Вольфрам","Используется для нитей накаливания",111
"Роден","Французский скульптор",112
"Лёгкая атлетика","Королева спорта",113
"Intel","Американская корпорация",114
"Мимолет","Мягкий сыр с промытой коркой",115
"Пилястра","Вертикальный выступ стены",116
"Фрейд","Автор 'Толкования сновидений'",117
"Онегин","Роман в стихах",118
"Углекислый","CO2",119
"Змея","Символ Асклепия",120
"Сострадание","Катарсис у Аристотеля",121
"Треугольник печали","Фильм Рубена Эстлунда",122
"Помпей","Гней Помпей Великий",123
"Голландский","Соус на основе яичных желтков и масла",124
"Саксофон","Изобретен Адольфом Саксом",125
"Эксперт","Работает с аукционами",126
"Орёл","Белоголовый орлан",127
"Тоска","Мировая скорбь",128
"Жан-Пьер Жене","Французский режиссёр",129
"Полтавская","1709 год",130
"Лермонтов","Поэт",131
"Стереометрия","Раздел геометрии",132
"Руб-эль-Хали","Пустыня на Аравийском полуострове",133
"Малевич","Русский авангардист",134
"Япония","Окинава",135
"Блокчейн","Распределённый реестр",136
"Текила","Мексиканский напиток",137
"Самшит","Твердая древесина",138
"Готика","Средневековый стиль",139
"Диор","Кристиан Диор",140
"Титан","Спутник Сатурна",141
"Диссоциативное","Раздвоение личности",142
"Ницше","Немецкий философ",143
"Углерод","Основа жизни",144
"Гибралтар","Соединяет Атлантику и Средиземное море",145
"Вучетич","Евгений Вучетич",146
"Самбо","Советское боевое искусство",147
"Гвидо ван Россум","Голландский программист",148
"Пуэр","Китайский чай",149
"Сакура","Цветущая вишня",150
"Захаров","Андреян Захаров",151
"Кристиан","Кристиан Диор",152
"Чёрная дыра","Объект с сингулярностью",153
"Проекция","Защитный механизм",154
"Гессе","Немецкий писатель",155
"Везувий","Действующий вулкан",156
"Майонез","Французский соус",157
"Ритардандо","Музыкальный термин",158
"Метеоролог","Синоптик",159
"Дельфин","Высокий интеллект",160
"Тоска","По дому",161
"Тарковский","Андрей Тарковский",162
"Стамфорд Бридж","1066 год",163
"Блок","Александр Блок",164
"Архимед","Закон Архимеда",165
"Мёртвое","Озеро на Ближнем Востоке",166
"Босх","Нидерландский художник",167
"Шотландия","Старинная игра",168
"Apple","Macintosh",169
"Рис","Зерно для саке",170
"Ива","Кора ивы",171
"Ар-деко","Стиль 20-х годов",172
"Ушанка","Меховая шапка",173
"Нейтронная","Пульсар",174
"Юнг","Карл Густав Юнг",175
"Чехов","Антон Чехов",176
"Магний","Хлорофилл",177
"Рейнский","Водопад в Швейцарии",178
"Фальконе","Этьен Фальконе",179
"Крокет","Игра с шарами и молотками",180
"Instagram","Социальная сеть",181
"Мороженое","Замороженный десерт",182
"Самшит","Железное дерево",183
"Бэй Юймин","Американский архитектор китайского происхождения",184
"Маккуин","Александр Маккуин",185
"Вояджер","Вояджер-1",186
"Бандура","Альберт Бандура",187
"Джойс","Джеймс Джойс",188
"Ртуть","Жидкий металл",189
"Анды","Горы в Южной Америке",190
"Милле","Джон Эверетт Милле",191
"Англия","Уимблдон",192
"IBM","Американская компания",193
"Корица","Пряность",194
"Бамбук","Символ долголетия",195
"Владимиро-суздальский","Белокаменное зодчество",196
"Вивьен Вествуд","Британский дизайнер",197
"Йена","Планетарий в Германии",198
"Эвристика","Эвристика доступности",199
"Ницше","Фридрих Ницше",200
"Пётр","Пётр I",201
"Взбивание","Кондитерский приём",202
"Альт","Струнный инструмент",203
"Эпиграфист","Изучает надписи",204
"Синий кит","Самое громкое животное",205
"Банник","Дух бани в славянской мифологии",206
"ВВП","Валовой внутренний продукт",207
"Меллиорация","Улучшение значения слова",208
"Экзогамия","Правило брака вне группы",209
"Энигма","Немецкая шифровальная машина",210
"Азимов","Айзек Азимов",211
"Бертильонаж","Антропометрический метод",212
"Неприкосновенность","Дипломатическая почта",213
"Альбинизм","Отсутствие меланина",214
"Глиальные","Клетки глии",215
"Химера","Чудовище из греческих мифов",216
"Рикардо","Давид Рикардо",217
"Латынь","Язык Древнего Рима",218
"Инициация","Обряд перехода",219
"Скитала","Транспозиционный шифр",220
"Чапек","Карел Чапек",221
"Бертильонаж","Антропометрия",222
"Верительная грамота","Документ для посла",223
"Транскрипция","Синтез РНК",224
"Гиппокамп","Часть лимбической системы",225
"Фенрир","Волк в скандинавской мифологии",226
"Кондратьев","Николай Кондратьев",227
"Койсанский","Языки бушменов",228
"Леви-Стросс","Клод Леви-Стросс",229
"Керкгоффса","Принцип Керкгоффса",230
"Хаксли","Олдос Хаксли",231
"Венография","Идентификация по венам",232
"Посланник","Дипломатический ранг",233
"Синдром Дауна","Трисомия 21",234
"Дофаминовая","Нейромедиатор дофамин",235
"Анубис","Бог с головой шакала",236
"Базовая инфляция","Core inflation",237
"18","Большое количество падежей",238
"Универсалия","Культурная универсалия",239
"RSA","Алгоритм Ривеста-Шамира-Адлемана",240
"Стругацкие","Аркадий и Борис Стругацкие",241
"Хроматография","Анализ чернил",242
"Экстерриториальность","Дипломатическая территория",243
"TP53","Ген-супрессор опухолей",244
"Брока","Зона Брока",245
"Кицунэ","Лис-оборотень в Японии",246
"Парадокс бережливости","Экономический парадокс",247
"Заменгоф","Людвиг Заменгоф",248
"Широкогоров","Сергей Широкогоров",249
"Коблов","Александр Коблов",250
"Омон Ра","Виктор Пелевин",251
"Иридология","Идентификация по радужке",252
"Демарш","Дипломатический протест",253
"Метилирование","Эпигенетический процесс",254
"Миндалина","Миндалевидное тело",255
"Шеша","Змей в индуизме",256
"Канеман","Даниэль Канеман",257
"Китайский","Мандаринский китайский",258
"Включенное наблюдение","Полевое исследование",259
"Левин","Александр Левин",260
"Мартин","Джордж Мартин",261
"Герасимов","Метод Герасимова",262
"Венский регламент","Дипломатический протокол",263
"Хантингтон","Болезнь Хантингтона",264
"Молисон","Генри Молисон",265
"Дагда","Котел из кельтских мифов",266
"ИПЦ","Индекс потребительских цен",267
"Китайский","Древнейшая письменность",268
"Фрэзер","Джеймс Фрэзер",269
"Татуировка","Стеганографический метод",270
"Воннегут","Курт Воннегут",271
"Рентгенография","Анализ картин",272
"Нота","Дипломатическая нота",273
"Матреализация","Митохондриальное наследование",274
"Субталамическое ядро","Зона мозга",275
"Иштар","Богиня в Месопотамии",276
"Нэш","Джон Нэш",277
"Македонский","Славянский язык",278
"Культурный шок","Антропологический термин",279
"RSA","Первый асимметричный алгоритм",280
"Лем","Станислав Лем",281
"Отоскопия","Идентификация по ушам",282
"Венская конвенция","Международный договор",283
"Синдром Прадера-Вилли","Генетическое заболевание",284
"Твердая","Дура матер",285
"Уицилопочтли","Бог ацтеков",286
"Экстерналия","Внешние эффекты",287
"Табасаранский","Язык Дагестана",288
"Рэдклифф-Браун","Альфред Рэдклифф-Браун",289
"Генри","Сергей Генри",290
"Брэдбери","Рэй Брэдбери",291
"Геммология","Наука о камнях",292
"Полномочный","Посол имеет полномочия",293
"Гемофилия","Наследственное заболевание",294
"Гиппокамп","Морской конёк",295
"Атлант","Титан в греческой мифологии",296
"Шумпетер","Йозеф Шумпетер",297
"Английский","Международный язык",298
"Холл","Эдвард Холл",299
"Тайминг-атака","Временная атака",300
"Желязны","Роджер Желязны",301
"Графология","Анализ почерка",302
"Дипломатическая защита","Право государства",303
"Прогерия","Синдром Хатчинсона-Гилфорда",304
"Супрахиазмальное ядро","Ядро в гипоталамусе",305
"ГАМК","Гамма-аминомасляная кислота",306
"Ипполита","Царица амазонок",307
"Парадокс Гибсона","Экономический парадокс",308
"Бленд","Слияние слов",309
"Хомский","Ноам Хомский",310
"Квантовая","Квантовая криптография",311
"Хайнлайн","Роберт Хайнлайн",312
"STR-анализ","Анализ коротких тандемных повторов",313
"Агреман","Предварительное согласие",314
"Муковисцидоз","Кистозный фиброз",315
"Варолиев мост","Структура мозга",316
"Драупнир","Кольцо Одина",317
"Сальдо","Торговый баланс",318
"Японский","Смешанная письменность",319
"Мана","Сверхъестественная сила",320
"Маргулис","Григорий Маргулис",321
"Герберт","Фрэнк Герберт",322
"Фоноскопия","Анализ аудиозаписей",323
"Мирный договор","Международный документ",324
"Вильсона","Болезнь Вильсона",325
"Мост","Варолиев мост",326
"Эа","Бог мудрости в Шумере",327
"Лукас","Роберт Лукас",328
"Японский","Нихонго",329
"Геннеп","Арнольд ван Геннеп",330
"ECDSA","Elliptic Curve Digital Signature Algorithm",331
"Замятин","Евгений Замятин",332
"Баллистика","Судебная баллистика",333
"Денонсация","Отказ от договора",334
"Тернера","Синдром Тернера",335
"Веретенообразная","Фузиформная извилина",336
"Хнум","Бог-творец в Египте",337
"Инфляция","Рост цен",338
"Хангыль","Корейское письмо",339
"Бурдье","Пьер Бурдье",340
"Микроточки","Стеганографический метод",341
"Джордан","Роберт Джордан",342
"Петрография","Анализ горных пород",343
"Советник","Дипломатический ранг",344
"Фенилкетонурия","Нарушение метаболизма",345
"Миндалевидное","Эффект Клювера-Бьюси",346
"Морриган","Богиня в кельтской мифологии",347
"Dow Jones","Промышленный индекс",348
"Датский","Скандинавский язык",349
"Шарон","Мери Шарон",350
"Колмогоров","Андрей Колмогоров",351
"Адамс","Дуглас Адамс",352
"Термография","Тепловизионный анализ",353
"Демиш","Снижение уровня отношений",354
"Патау","Синдром Патау",355
"Продолговатый","Продолговатый мозг",356
"Шива","Бог-разрушитель в индуизме",357
"Беккер","Гэри Беккер",358
"Амхарский","Язык Эфиопии",359
"Арьес","Филипп Арьес",360
"Магма","Симметричный алгоритм",361
"Гибсон","Уильям Гибсон",362
"Энтомология","Судебная энтомология",363
"Монтегю","Конвенция Монтегю",364
"Лежена","Синдром кошачьего крика",365
"Гиппокамп","Память и обучение",366
